Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,451305,Water Level,Manual,1992-05-09T00:00Z,37.78,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-10T00:00Z,37.94,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-11T00:00Z,38.04,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-12T00:00Z,37.97,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-13T00:00Z,38.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-14T00:00Z,38.02,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-15T00:00Z,37.96,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-16T00:00Z,37.94,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-17T00:00Z,38.1,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-18T00:00Z,38.21,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-19T00:00Z,38.15,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-20T00:00Z,38.2,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-21T00:00Z,38.36,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-22T00:00Z,38.45,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-23T00:00Z,38.67,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-24T00:00Z,38.58,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-25T00:00Z,38.62,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-26T00:00Z,38.62,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-27T00:00Z,38.62,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-28T00:00Z,38.61,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-29T00:00Z,38.62,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-30T00:00Z,38.5,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-31T00:00Z,38.37,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-01T00:00Z,38.34,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-02T00:00Z,38.28,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-03T00:00Z,38.17,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-04T00:00Z,38.12,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-05T00:00Z,38.12,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-06T00:00Z,38.14,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-07T00:00Z,38.18,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-08T00:00Z,38.37,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-09T00:00Z,38.53,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-10T00:00Z,38.81,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-11T00:00Z,38.93,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-12T00:00Z,38.67,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-13T00:00Z,38.64,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-14T00:00Z,38.68,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-15T00:00Z,38.88,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-16T00:00Z,38.87,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-17T00:00Z,38.84,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-18T00:00Z,38.82,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-19T00:00Z,39.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-20T00:00Z,41.04,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-21T00:00Z,40.91,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-22T00:00Z,39.86,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-23T00:00Z,39.8,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-24T00:00Z,39.56,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-25T00:00Z,39.76,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-26T00:00Z,39.98,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-27T00:00Z,40.29,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-28T00:00Z,40.31,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-29T00:00Z,40.24,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-06-30T00:00Z,40.13,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-01T00:00Z,39.9,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-02T00:00Z,39.74,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-03T00:00Z,39.58,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-04T00:00Z,39.54,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-05T00:00Z,39.54,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-06T00:00Z,39.38,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-07T00:00Z,39.27,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-08T00:00Z,39.22,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-09T00:00Z,39.34,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-10T00:00Z,39.39,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-11T00:00Z,39.5,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-12T00:00Z,39.2,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-13T00:00Z,39.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-14T00:00Z,39.06,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-15T00:00Z,39.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-16T00:00Z,38.98,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-17T00:00Z,38.9,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-18T00:00Z,38.83,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-19T00:00Z,38.81,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-20T00:00Z,38.8,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-21T00:00Z,38.78,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-22T00:00Z,38.87,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-23T00:00Z,38.99,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-24T00:00Z,38.95,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-25T00:00Z,39.29,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-26T00:00Z,39.42,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-27T00:00Z,39.38,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-28T00:00Z,39.5,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-29T00:00Z,39.6,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-30T00:00Z,39.55,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-07-31T00:00Z,39.48,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-01T00:00Z,39.54,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-02T00:00Z,40.31,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-03T00:00Z,40.26,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-04T00:00Z,40.35,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-05T00:00Z,40.08,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-06T00:00Z,39.95,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-07T00:00Z,39.94,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-08T00:00Z,39.8,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-09T00:00Z,39.71,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-10T00:00Z,39.98,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-11T00:00Z,40.17,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-12T00:00Z,40.26,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-13T00:00Z,39.95,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-14T00:00Z,39.84,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-15T00:00Z,39.8,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-16T00:00Z,39.93,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-17T00:00Z,40.2,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-18T00:00Z,40.22,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-19T00:00Z,40.17,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-20T00:00Z,40.09,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-21T00:00Z,40.41,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-22T00:00Z,40.67,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-23T00:00Z,41.4,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-24T00:00Z,41.63,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-25T00:00Z,41.36,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-26T00:00Z,41.25,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-27T00:00Z,41.22,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-28T00:00Z,41.07,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-08-29T00:00Z,40.96,m,O,Raw - Not Yet Reviewed,Unverified data
